
# This is a benchmark of random replacement
# 10000 pages references
# 100 pages 
#
#
frames	ratio
5	0.40
10	0.60
15	0.72
20	0.80
25	0.85
30	0.88
35	0.90
40	0.91
45	0.92
50	0.94
55	0.95
60	0.95
65	0.96
70	0.97
75	0.97
80	0.98
85	0.98
90	0.98
95	0.99
100	0.99
